"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 31 04:34:01 UTC 2023","Wed May 31 04:34:12 UTC 2023","10985","","Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed May 31 04:16:39 UTC 2023","Wed May 31 04:17:02 UTC 2023","22735",""," Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Wed May 31 04:33:26 UTC 2023","Wed May 31 04:33:32 UTC 2023","5331","","Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed May 31 04:16:36 UTC 2023","Wed May 31 04:16:39 UTC 2023","2670",""," Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed May 31 05:27:12 UTC 2023","Wed May 31 05:27:13 UTC 2023","1429","","Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed May 31 04:18:02 UTC 2023","Wed May 31 04:18:06 UTC 2023","3816","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"failed","Wed May 31 04:45:52 UTC 2023","Wed May 31 04:48:23 UTC 2023","150366","","Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"failed","Wed May 31 05:30:16 UTC 2023","Wed May 31 05:32:47 UTC 2023","150378","","Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed May 31 04:16:32 UTC 2023","Wed May 31 04:16:54 UTC 2023","22067","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed May 31 05:24:57 UTC 2023","Wed May 31 05:24:57 UTC 2023","637","","Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed May 31 04:36:27 UTC 2023","Wed May 31 04:36:28 UTC 2023","536","","Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Wed May 31 05:16:13 UTC 2023","Wed May 31 05:16:13 UTC 2023","564","","Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
